entity,ean,description,gtin,width,height,length,net_weight,gross_weight,created_at,updated_at,release_date,price,avg_price,max_price,min_price,gtins[0].gtin,gtins[0].commercial_unit.type_packaging,gtins[0].commercial_unit.quantity_packaging,gtins[0].commercial_unit.ballast,gtins[0].commercial_unit.layer,origin,barcode_image,api_status,thumbnail,brand.name,brand.picture,ncm.code,ncm.description,ncm.full_description,ncm.ex,gtins[1].gtin,gtins[1].commercial_unit.type_packaging,gtins[1].commercial_unit.quantity_packaging,gtins[1].commercial_unit.ballast,gtins[1].commercial_unit.layer,category.id,category.description,category.parent_id,cest.id,cest.code,cest.description,cest.parent_id,gtins[2].gtin,gtins[2].commercial_unit.type_packaging,gtins[2].commercial_unit.quantity_packaging,gtins[2].commercial_unit.ballast,gtins[2].commercial_unit.layer
Ar Condicionado,7899963913655,PAC24 COND AR SPLIT INVERT 24000BT CPHILCO,7899963913655,,,,,,2025-10-26T10:13:38.000-03:00,2025-10-26T10:13:39.000-03:00,,,,0,0,7899963913655,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B985F81DBD052178501C.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963913679,EVAP INT 30000 PHILCO ECO INV 220 V,7899963913679,,,,,,2025-09-14T07:03:04.000-03:00,2025-09-14T07:03:06.000-03:00,,,,0,0,7899963913679,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B98582F74CEF622C0465.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963913686,COND EXT 30 000 PHILCO ECO INVERTER ******** 220 VOLTS,7899963913686,,,,,,2025-11-19T12:44:43.000-03:00,2025-11-19T12:44:44.000-03:00,,,,0,0,7899963913686,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B98532AC0960B41A33F8.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963915888,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963916939,COND PHILCO HW 12K 127V F INV R32 PAC12FD,7899963916939,,,,,,2025-09-16T20:00:48.000-03:00,2025-09-16T20:00:49.000-03:00,,,,0,0,7899963916939,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B985C859FE33A162E4CF.png,,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963917561,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963917592,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963917653,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963919206,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963919510,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
